collocation,count,count_nested,length,lambda,z,shopkeeper_term,period,type,normalized_freq,doc_count,n_periods
店主願,10,0,2,0.9968759019333295,3.2120916608850365,店主,1872-1894,2-gram,1.0333781130515656,9677,4
店主見,47,0,2,0.9903849557189153,6.761589618838656,店主,1872-1894,2-gram,4.856877131342358,9677,4
店主傳,23,0,2,0.9847451395244335,4.7407752430127115,店主,1872-1894,2-gram,2.376769660018601,9677,3
店主拘,15,0,2,0.9698260504053424,3.7952432173387494,店主,1872-1894,2-gram,1.5500671695773482,9677,5
供店主,56,0,2,0.950552314675198,7.072339997895444,店主,1872-1894,2-gram,5.786917433088767,9677,4
俟店主,11,0,2,0.9463584439989212,3.191630820896329,店主,1872-1894,2-gram,1.1367159243567222,9677,3
嗣店主,9,0,2,0.9270938200219665,2.8426221209925107,店主,1872-1894,2-gram,0.9300403017464091,9677,4
店主詢,10,0,2,0.8919915287880751,2.8754298626013473,店主,1872-1894,2-gram,1.0333781130515656,9677,3
勸店主,5,0,2,0.8902566133140333,2.0781477649839823,店主,1872-1894,2-gram,0.5166890565257828,9677,3
囑店主,7,0,2,0.8896099026755819,2.4244941411766865,店主,1872-1894,2-gram,0.7233646791360959,9677,3
知店主,59,0,2,0.8306956495309157,6.343564208220317,店主,1872-1894,2-gram,6.096930867004237,9677,4
店主具,13,0,2,0.8261051931400756,3.0194458631917236,店主,1872-1894,2-gram,1.3433915469670352,9677,3
店主尋,9,0,2,0.8138979394852721,2.496645426095606,店主,1872-1894,2-gram,0.9300403017464091,9677,3
店主深,6,0,2,0.802757062875902,2.0376003763400408,店主,1872-1894,2-gram,0.6200268678309394,9677,3
諭店主,11,0,2,0.8001039326599058,2.699953345683421,店主,1872-1894,2-gram,1.1367159243567222,9677,4
文店主,17,0,2,0.7910726002076247,3.2910883283564982,店主,1872-1894,2-gram,1.7567427921876615,9677,3
着店主,23,0,2,0.6851577795936232,3.3022991455915216,店主,1872-1894,2-gram,2.376769660018601,9677,3
旋店主,10,0,2,0.6699715088674005,2.161490247100654,店主,1872-1894,2-gram,1.0333781130515656,9677,4
店主報,21,0,2,0.6089583226680753,2.808619994977533,店主,1872-1894,2-gram,2.1700940374082878,9677,3
事店主,35,0,2,0.604660892028348,3.5783495431000256,店主,1872-1894,2-gram,3.6168233956804796,9677,5
遂店主,21,0,2,0.60434962222365,2.787410211415897,店主,1872-1894,2-gram,2.1700940374082878,9677,5
店主帶,14,0,2,0.5882738811654211,2.2299412571189845,店主,1872-1894,2-gram,1.4467293582721918,9677,3
間店主,13,0,2,0.5824890038181367,2.130783586508109,店主,1872-1894,2-gram,1.3433915469670352,9677,3
店店主,21,0,2,0.5202833829332847,2.400262895806861,店主,1872-1894,2-gram,2.1700940374082878,9677,4
店家買,7,0,2,2.6272746375822753,7.103229052838144,店家,1872-1894,2-gram,0.7233646791360959,9677,4
店家,18,0,3,2.361666732186932,3.1407790345100115,店家,1872-1894,3-gram,1.8600806034928181,9677,3
店家,22,0,2,0.8977705778306149,4.111471787682712,店家,1872-1894,2-gram,2.2734318487134444,9677,3
伊東家,20,0,2,1.838167365934158,8.240207804127937,東家,1872-1894,2-gram,2.066756226103131,9677,3
供東家,30,0,2,1.4553635068984976,7.9407486014599735,東家,1872-1894,2-gram,3.1001343391546965,9677,3
傳棧主,55,0,2,3.216259925274282,23.198457130816603,棧主,1872-1894,2-gram,5.683579621783611,9677,3
提棧主,25,0,2,2.5860966616507093,12.854841504083948,棧主,1872-1894,2-gram,2.583445282628914,9677,3
諭棧主,15,0,2,2.4286514774665475,9.456530334670315,棧主,1872-1894,2-gram,1.5500671695773482,9677,3
交棧主,39,0,2,2.2395529142209325,13.801907498746575,棧主,1872-1894,2-gram,4.030174640901106,9677,3
棧棧主,11,0,2,2.2078678848045294,7.423736373732074,棧主,1872-1894,2-gram,1.1367159243567222,9677,3
嗣棧主,8,0,2,2.1373316723001388,6.187355039334441,棧主,1872-1894,2-gram,0.8267024904412524,9677,3
命棧主,11,0,2,2.1101768090766138,7.097897740307465,棧主,1872-1894,2-gram,1.1367159243567222,9677,3
死棧主,6,0,2,1.8773818104481799,4.760386475507872,棧主,1872-1894,2-gram,0.6200268678309394,9677,4
知棧主,35,0,2,1.6443922770149237,9.639631322475946,棧主,1872-1894,2-gram,3.6168233956804796,9677,3
棧主報,12,0,2,1.3870368747981106,4.8713669833687785,棧主,1872-1894,2-gram,1.2400537356618788,9677,3
